Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.174666154,2.542678538,2.025852879,0.230913462,1.498381099,0.46807098,0.993285895,1.033065619,1.416880749,1.104159913,1.247488298,1.32732201,1.218383288,1.684837134,0.193583955,1.14289357,2.927339758,2.779393418,3.124027123,2.420276783,2.604437011,1.322531059,1.749850898,1.382436548,1.547171922,3.264575341,1.538348065,1.749898744,1.490057564,0.850846276,3.584815032,2.828486962,3.713885221,1.924640424,6.995856789,-3.616955907,4.086706705,5.205192257,4.279212927,3.09364177,3.080886285,4.714289959,3.741427227,3.445510198,3.150100271,2.781323692,3.490687795,
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.732802991,0.799230382,0.659136815,0.54465602,0.503121177,0.197493687,0.212366202,0.187821783,0.229467386,0.253497718,0.291624498,0.46107362,0.291710695,0.299665023,0.169502455,0.249479627,0.188356396,0.329814979,0.326759657,0.441266301,0.392410762,0.207182777,0.739415411,0.593065429,1.039909225,0.788462573,1.860756594,1.233034743,2.127402555,1.385136512,4.332020304,2.992775978,0.149093503,2.712406032,1.293452982,25.72610677,3.124253652,17.72237605,1.466623559,3.571764839,-5.615209099,5.328997441,1.274867727,0.104941938,0.387515471,-2.244974475,-7.663360967,
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81256385,19.74587488,28.1332208,23.00665415,11.13931939,2.464373862,14.35913016,32.46702251,55.07590465,54.36463488,33.79504714,21.37902941,13.90071471,8.160909658,6.547600843,6.338044724,6.800620683,7.596041941,3.531931399,5.888118893,7.626336333,11.88887073,
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,1.15E-05,1.03E-05,0.223771014,0.029534344,1.342183252,-0.001304856,,,0.004882857,0.052333666,0.002481484,0.036889102,0.237846034,0.020025764,0.038511801,0.142423372,0.02446705,4.300125041,2.642421428,1.61812916,0.001843027,
Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.984681409,10.82872618,11.97545937,8.695613929,14.35475886,20.4713015,36.73991526,17.85728562,23.05670402,29.98596411,1.342343942,-5.447076521,-4.50615673,-6.396693479,7.90955715,
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.008226185,0.835638863,1.16978475,0.693926704,-0.422446607,0.279190961,0.351140017,0.416775236,0.081107282,0.300788154,0.307173179,0.161898129,-0.000960154,0.000958313,0.001088613,-0.00860657,0.082329041,0.00640036,-1.15E-16,4.133423489,3.182545065,6.080271075,4.575651876,0.061716924,0.85407956,0.614368303,1.504261846,1.190992206,1.545858391,1.45975477,-0.496774564,0.624013838,-0.631986845,0.271786054,-0.900192566,-0.182887348,-0.240209747,2.328591486,0.67317874,-0.263935312,0.766902232,2.061551522,3.453698611,3.934158153,4.174097283,1.80487912,1.87096077,
Burkina Faso,BFA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.087259211,0.207292002,-0.120982603,0.652070347,0.355085797,0.031769942,0.209988128,0.439336528,0.078384455,0.085497718,0.001226996,0.136979968,0.111010245,0.123808673,0.114593964,-0.091902568,0.154144192,0.056162249,0.141815201,0.216923781,0.014832481,0.018181553,0.138959121,0.136293174,0.969328341,0.412551084,0.627288466,0.39898399,0.157122676,0.264749641,0.88324766,0.325812191,0.501105509,0.733078606,0.079142985,0.590441074,1.433353376,0.320222005,0.394960739,0.674222739,0.432438272,1.339578746,2.949121794,4.103597507,2.882850829,1.606607624,2.640187322,
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431242,0.02893631,0.017582473,0.00793555,0.053572593,0.072322993,0.057974213,-0.051460025,0.046917946,0.026469536,0.037570041,0.002294153,-0.002924127,-0.029894396,0.011189931,0.013190726,0.006916145,0.000861339,0.010249846,0.004491464,0.011737577,0.042361654,0.03301223,0.004998378,0.029134956,0.288896573,0.380236167,0.350421247,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.095149819,0.635657188,0.817754424,1.449748396,0.879494542,1.068934861,0.983166534,1.18810285,1.73541854,1.468712877,1.451287742,0.861850613,
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019387274,0.510803242,0.400946215,0.369354299,1.086887367,0.692008539,1.078204,4.508901918,3.672463826,6.067316351,7.61709984,5.75111107,5.529588157,9.949281449,11.77465186,13.74210082,22.95467987,30.99529352,18.92461619,7.51026984,3.641372982,3.664000265,3.317271882,3.567225222,3.644397805,5.391907532,2.214663591,
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,-13.60487852,0.119671754,0.780566095,1.716035322,3.602315292,2.774743282,-1.0455694,-1.058491537,5.998132318,4.680938941,-4.319668008,13.41821743,18.28257949,-5.288191223,3.740326911,7.361126807,33.56601753,5.186228818,2.902019672,6.852999957,4.011542051,0.895242857,2.252734517,4.665540204,6.580206432,6.566593037,15.750616,8.08243219,6.977585045,1.12105291,0.605800046,2.71349353,2.89835267,3.038855337,2.868458743,-2.560811804,0.876081568,
